farm_id,field_id,date,soil_moisture_pct_nfk,growth_stage,crop_type,days_since_last_irrigation,previous_irrigation_mm,onfarm_rain_gauge_mm,soil_type,crop_variety_maturity,days_after_planting,irrigation_type,water_source,field_area_ha,irrigation_need
farm_1,farm_1_field_1,2025-04-15,57.2,initial,potato,7,0.0,0.0,sand,medium,7,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-16,54.2,initial,potato,8,0.0,3.8,sand,medium,8,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-17,62.0,initial,potato,9,0.0,0.7,sand,medium,9,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-18,54.6,initial,potato,10,0.0,0.0,sand,medium,10,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-19,58.3,initial,potato,11,0.0,0.0,sand,medium,11,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-20,56.2,initial,potato,12,0.0,0.0,sand,medium,12,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-21,54.6,initial,potato,13,0.0,0.7,sand,medium,13,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-22,50.6,initial,potato,14,0.0,3.0,sand,medium,14,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-23,60.3,initial,potato,15,0.0,0.0,sand,medium,15,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-24,53.5,initial,potato,16,0.0,0.1,sand,medium,16,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-25,,initial,potato,17,0.0,0.5,sand,medium,17,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-26,54.4,initial,potato,18,0.0,0.2,sand,medium,18,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-27,54.7,initial,potato,19,0.0,5.1,sand,medium,19,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-28,55.5,initial,potato,20,0.0,0.0,sand,medium,20,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-29,59.6,initial,potato,21,0.0,0.0,sand,medium,21,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-04-30,56.8,initial,potato,22,0.0,0.6,sand,medium,22,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-01,53.7,initial,potato,23,0.0,0.1,sand,medium,23,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-02,50.5,initial,potato,24,0.0,0.0,sand,medium,24,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-03,50.4,development,potato,25,0.0,2.3,sand,medium,25,drip,groundwater_well,11.5,1
farm_1,farm_1_field_1,2025-05-04,75.9,development,potato,1,18.0,0.5,sand,medium,26,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-05,74.6,development,potato,2,18.0,0.2,sand,medium,27,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-06,71.3,development,potato,3,18.0,0.0,sand,medium,28,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-07,66.3,development,potato,4,18.0,0.2,sand,medium,29,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-08,61.3,development,potato,5,18.0,0.0,sand,medium,30,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-09,65.7,development,potato,6,18.0,1.2,sand,medium,31,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-10,58.9,development,potato,7,18.0,0.4,sand,medium,32,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-11,54.0,development,potato,8,18.0,0.0,sand,medium,33,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-12,55.9,development,potato,9,18.0,0.0,sand,medium,34,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-13,45.7,development,potato,10,18.0,0.0,sand,medium,35,drip,groundwater_well,11.5,1
farm_1,farm_1_field_1,2025-05-14,42.8,development,potato,11,18.0,0.2,sand,medium,36,drip,groundwater_well,11.5,1
farm_1,farm_1_field_1,2025-05-15,41.7,development,potato,12,18.0,0.6,sand,medium,37,drip,groundwater_well,11.5,1
farm_1,farm_1_field_1,2025-05-16,66.6,development,potato,1,18.0,0.3,sand,medium,38,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-17,63.0,development,potato,2,18.0,5.9,sand,medium,39,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-18,65.8,development,potato,3,18.0,1.1,sand,medium,40,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-19,64.4,development,potato,4,18.0,8.2,sand,medium,41,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-20,74.4,development,potato,5,18.0,0.0,sand,medium,42,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-21,70.0,development,potato,6,18.0,5.6,sand,medium,43,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-22,69.6,development,potato,7,18.0,0.3,sand,medium,44,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-23,71.7,development,potato,8,18.0,0.0,sand,medium,45,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-24,66.0,development,potato,9,18.0,0.2,sand,medium,46,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-25,58.5,development,potato,10,18.0,3.7,sand,medium,47,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-26,60.9,development,potato,11,18.0,0.1,sand,medium,48,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-27,57.4,development,potato,12,18.0,0.3,sand,medium,49,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-28,59.8,development,potato,13,18.0,0.5,sand,medium,50,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-29,50.2,development,potato,14,18.0,0.0,sand,medium,51,drip,groundwater_well,11.5,0
farm_1,farm_1_field_1,2025-05-30,47.0,development,potato,15,18.0,0.0,sand,medium,52,drip,groundwater_well,11.5,1
farm_1,farm_1_field_1,2025-05-31,40.9,development,potato,16,18.0,0.6,sand,medium,53,drip,groundwater_well,11.5,1
farm_1,farm_1_field_1,2025-06-01,40.8,development,potato,17,18.0,0.0,sand,medium,54,drip,groundwater_well,11.5,1
