farm_id,field_id,date,soil_moisture_pct_nfk,growth_stage,crop_type,days_since_last_irrigation,previous_irrigation_mm,onfarm_rain_gauge_mm,soil_type,crop_variety_maturity,days_after_planting,irrigation_type,water_source,field_area_ha,irrigation_need
farm_4,farm_4_field_1,2025-04-25,73.7,initial,maize,0,0.0,0.7,loam,early,0,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-04-26,68.4,initial,maize,1,0.0,0.0,loam,early,1,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-04-27,68.1,initial,maize,2,0.0,5.5,loam,early,2,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-04-28,72.5,initial,maize,3,0.0,0.0,loam,early,3,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-04-29,68.1,initial,maize,4,0.0,0.0,loam,early,4,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-04-30,72.5,initial,maize,5,0.0,1.3,loam,early,5,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-01,69.7,initial,maize,6,0.0,0.0,loam,early,6,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-02,67.3,initial,maize,7,0.0,0.4,loam,early,7,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-03,72.1,initial,maize,8,0.0,3.7,loam,early,8,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-04,67.6,initial,maize,9,0.0,0.1,loam,early,9,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-05,71.0,initial,maize,10,0.0,0.0,loam,early,10,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-06,68.8,initial,maize,11,0.0,0.1,loam,early,11,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-07,72.7,initial,maize,12,0.0,0.2,loam,early,12,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-08,71.0,initial,maize,13,0.0,0.1,loam,early,13,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-09,69.5,initial,maize,14,0.0,0.5,loam,early,14,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-10,75.4,initial,maize,15,0.0,0.0,loam,early,15,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-11,72.4,initial,maize,16,0.0,0.2,loam,early,16,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-12,69.2,initial,maize,17,0.0,0.9,loam,early,17,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-13,65.4,initial,maize,18,0.0,0.0,loam,early,18,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-14,70.8,initial,maize,19,0.0,0.1,loam,early,19,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-15,64.4,initial,maize,20,0.0,0.3,loam,early,20,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-16,69.1,initial,maize,21,0.0,0.2,loam,early,21,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-17,60.8,initial,maize,22,0.0,8.4,loam,early,22,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-18,65.4,initial,maize,23,0.0,0.5,loam,early,23,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-19,69.1,initial,maize,24,0.0,10.7,loam,early,24,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-20,80.2,initial,maize,25,0.0,0.0,loam,early,25,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-21,73.1,development,maize,26,0.0,7.0,loam,early,26,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-22,72.5,development,maize,27,0.0,0.3,loam,early,27,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-23,72.5,development,maize,28,0.0,0.0,loam,early,28,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-24,72.8,development,maize,29,0.0,0.6,loam,early,29,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-25,71.2,development,maize,30,0.0,4.1,loam,early,30,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-26,71.3,development,maize,31,0.0,0.6,loam,early,31,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-27,70.6,development,maize,32,0.0,0.7,loam,early,32,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-28,72.1,development,maize,33,0.0,0.3,loam,early,33,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-29,68.7,development,maize,34,0.0,0.1,loam,early,34,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-30,64.7,development,maize,35,0.0,0.1,loam,early,35,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-05-31,64.1,development,maize,36,0.0,0.0,loam,early,36,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-06-01,57.5,development,maize,37,0.0,0.0,loam,early,37,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-06-02,60.5,development,maize,38,0.0,0.0,loam,early,38,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-06-03,56.0,development,maize,39,0.0,0.1,loam,early,39,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-06-04,60.4,development,maize,40,0.0,0.4,loam,early,40,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-06-05,49.8,development,maize,41,0.0,0.0,loam,early,41,hose_reel,farm_reservoir,10.2,0
farm_4,farm_4_field_1,2025-06-06,52.9,development,maize,42,0.0,0.1,loam,early,42,hose_reel,farm_reservoir,10.2,0
