farm_id,field_id,date,soil_moisture_pct_nfk,growth_stage,crop_type,days_since_last_irrigation,previous_irrigation_mm,onfarm_rain_gauge_mm,soil_type,crop_variety_maturity,days_after_planting,irrigation_type,water_source,field_area_ha,irrigation_need
farmer_2,farmer_2_field_1,2025-04-27,75.0,initial,maize,0,0.0,5.6,loam,late,0,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-04-28,81.2,initial,maize,1,0.0,0.1,loam,late,1,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-04-29,81.4,initial,maize,2,0.0,0.0,loam,late,2,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-04-30,82.7,initial,maize,3,0.0,1.3,loam,late,3,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-01,82.7,initial,maize,4,0.0,0.4,loam,late,4,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-02,83.9,initial,maize,5,0.0,0.0,loam,late,5,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-03,77.8,initial,maize,6,0.0,3.7,loam,late,6,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-04,84.6,initial,maize,7,0.0,0.0,loam,late,7,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-05,75.4,initial,maize,8,0.0,0.0,loam,late,8,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-06,81.3,initial,maize,9,0.0,0.4,loam,late,9,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-07,77.6,initial,maize,10,0.0,0.0,loam,late,10,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-08,85.1,initial,maize,11,0.0,0.1,loam,late,11,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-09,75.8,initial,maize,12,0.0,0.6,loam,late,12,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-10,76.9,initial,maize,13,0.0,0.0,loam,late,13,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-11,76.9,initial,maize,14,0.0,0.0,loam,late,14,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-12,76.9,initial,maize,15,0.0,0.0,loam,late,15,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-13,76.9,initial,maize,16,0.0,0.0,loam,late,16,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-14,76.9,initial,maize,17,0.0,0.0,loam,late,17,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-15,76.9,initial,maize,18,0.0,1.0,loam,late,18,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-16,76.9,initial,maize,19,0.0,0.0,loam,late,19,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-17,76.9,initial,maize,20,0.0,7.6,loam,late,20,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-18,81.3,initial,maize,21,0.0,0.3,loam,late,21,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-19,78.9,initial,maize,22,0.0,9.9,loam,late,22,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-20,88.5,initial,maize,23,0.0,0.0,loam,late,23,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-21,84.3,initial,maize,24,0.0,6.7,loam,late,24,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-22,91.1,initial,maize,25,0.0,0.5,loam,late,25,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-23,84.9,initial,maize,26,0.0,0.4,loam,late,26,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-24,88.7,initial,maize,27,0.0,0.4,loam,late,27,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-25,86.5,initial,maize,28,0.0,3.8,loam,late,28,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-26,88.1,initial,maize,29,0.0,0.1,loam,late,29,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-27,91.3,initial,maize,30,0.0,0.0,loam,late,30,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-28,89.7,initial,maize,31,0.0,0.0,loam,late,31,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-29,85.4,initial,maize,32,0.0,0.4,loam,late,32,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-30,83.3,initial,maize,33,0.0,0.0,loam,late,33,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-05-31,85.5,development,maize,34,0.0,0.1,loam,late,34,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-06-01,83.0,development,maize,35,0.0,0.0,loam,late,35,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-06-02,80.0,development,maize,36,0.0,0.0,loam,late,36,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-06-03,82.1,development,maize,37,0.0,0.4,loam,late,37,pivot,irrigation_canal,7.1,0
farmer_2,farmer_2_field_1,2025-06-04,83.3,development,maize,38,0.0,0.0,loam,late,38,pivot,irrigation_canal,7.1,0
