partition,soil_moisture_pct_nfk,previous_irrigation_mm,onfarm_rain_gauge_mm,soil_type,irrigation_type,water_source,field_area_ha,irrigation_need
1,73.8,0.0,0.4,sand,drip,groundwater_well,11.5,0
1,65.7,0.0,2.4,sand,drip,groundwater_well,11.5,0
1,72.4,0.0,0.5,sand,drip,groundwater_well,11.5,0
1,73.1,0.0,0.2,sand,drip,groundwater_well,11.5,0
1,74.6,0.0,0.4,sand,drip,groundwater_well,11.5,0
1,70.4,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,73.7,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,66.8,0.0,2.9,sand,drip,groundwater_well,11.5,0
1,74.0,0.0,0.2,sand,drip,groundwater_well,11.5,0
1,67.4,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.9,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,63.6,0.0,0.6,sand,drip,groundwater_well,11.5,0
1,63.6,0.0,3.5,sand,drip,groundwater_well,11.5,0
1,66.2,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,61.5,0.0,0.1,sand,drip,groundwater_well,11.5,0
1,65.1,0.0,1.2,sand,drip,groundwater_well,11.5,0
1,64.0,0.0,0.6,sand,drip,groundwater_well,11.5,0
1,59.7,0.0,0.2,sand,drip,groundwater_well,11.5,0
1,62.4,0.0,1.9,sand,drip,groundwater_well,11.5,0
1,59.7,0.0,0.4,sand,drip,groundwater_well,11.5,0
1,53.4,0.0,0.5,sand,drip,groundwater_well,11.5,0
1,59.2,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,53.8,0.0,0.6,sand,drip,groundwater_well,11.5,0
1,51.0,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,48.6,0.0,0.3,sand,drip,groundwater_well,11.5,1
1,41.5,0.0,0.2,sand,drip,groundwater_well,11.5,1
1,66.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,66.4,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,65.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,60.5,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,56.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,49.2,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,46.6,18.0,5.1,sand,drip,groundwater_well,11.5,1
1,76.9,18.0,0.9,sand,drip,groundwater_well,11.5,0
1,75.2,18.0,6.6,sand,drip,groundwater_well,11.5,0
1,79.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,75.2,18.0,3.8,sand,drip,groundwater_well,11.5,0
1,73.6,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,75.1,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,76.0,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,67.0,18.0,2.8,sand,drip,groundwater_well,11.5,0
1,69.1,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.9,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,53.6,18.0,0.6,sand,drip,groundwater_well,11.5,0
1,52.8,18.0,0.2,sand,drip,groundwater_well,11.5,1
1,74.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,65.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,58.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,60.0,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,71.9,17.0,0.8,sand,drip,groundwater_well,11.5,0
1,68.1,17.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.6,17.0,0.4,sand,drip,groundwater_well,11.5,0
1,53.9,17.0,14.4,sand,drip,groundwater_well,11.5,1
1,70.7,17.0,14.9,sand,drip,groundwater_well,11.5,0
1,89.7,17.0,0.4,sand,drip,groundwater_well,11.5,0
1,80.7,17.0,0.0,sand,drip,groundwater_well,11.5,0
1,72.9,17.0,0.6,sand,drip,groundwater_well,11.5,0
1,74.9,17.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.2,17.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.0,17.0,0.3,sand,drip,groundwater_well,11.5,1
1,74.2,15.9,0.1,sand,drip,groundwater_well,11.5,0
1,69.4,15.9,0.1,sand,drip,groundwater_well,11.5,0
1,,15.9,2.1,sand,drip,groundwater_well,11.5,0
1,58.1,15.9,17.4,sand,drip,groundwater_well,11.5,1
1,100.0,15.0,0.0,sand,drip,groundwater_well,11.5,0
1,89.2,15.0,0.4,sand,drip,groundwater_well,11.5,0
1,87.5,15.0,0.0,sand,drip,groundwater_well,11.5,0
1,83.1,15.0,0.5,sand,drip,groundwater_well,11.5,0
1,72.6,15.0,0.0,sand,drip,groundwater_well,11.5,0
1,67.2,15.0,0.0,sand,drip,groundwater_well,11.5,0
1,63.4,15.0,0.4,sand,drip,groundwater_well,11.5,1
1,81.1,16.2,0.1,sand,drip,groundwater_well,11.5,0
1,66.6,16.2,0.0,sand,drip,groundwater_well,11.5,0
1,,16.2,2.1,sand,drip,groundwater_well,11.5,0
1,61.2,16.2,0.2,sand,drip,groundwater_well,11.5,1
1,76.5,14.4,0.0,sand,drip,groundwater_well,11.5,0
1,67.1,14.4,0.3,sand,drip,groundwater_well,11.5,0
1,61.9,14.4,0.0,sand,drip,groundwater_well,11.5,1
1,71.3,14.4,0.7,sand,drip,groundwater_well,11.5,0
1,65.6,14.4,0.0,sand,drip,groundwater_well,11.5,0
1,57.1,14.4,0.1,sand,drip,groundwater_well,11.5,1
1,78.3,17.5,0.0,sand,drip,groundwater_well,11.5,0
1,62.0,17.5,0.0,sand,drip,groundwater_well,11.5,0
1,51.0,17.5,0.0,sand,drip,groundwater_well,11.5,1
