farm_id,field_id,date,soil_moisture_pct_nfk,growth_stage,crop_type,days_since_last_irrigation,previous_irrigation_mm,onfarm_rain_gauge_mm,soil_type,crop_variety_maturity,days_after_planting,irrigation_type,water_source,field_area_ha,irrigation_need
farm_2,farm_2_field_1,2026-04-15,52.4,initial,potato,3,0.0,0.1,loam,late,3,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-16,58.3,initial,potato,4,0.0,5.1,loam,late,4,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-17,61.3,initial,potato,5,0.0,0.2,loam,late,5,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-18,58.9,initial,potato,6,0.0,0.4,loam,late,6,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-19,49.7,initial,potato,7,0.0,0.0,loam,late,7,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-20,56.2,initial,potato,8,0.0,0.7,loam,late,8,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-21,57.5,initial,potato,9,0.0,0.0,loam,late,9,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-22,56.1,initial,potato,10,0.0,5.2,loam,late,10,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-23,58.5,initial,potato,11,0.0,0.0,loam,late,11,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-24,57.7,initial,potato,12,0.0,0.8,loam,late,12,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-25,61.6,initial,potato,13,0.0,0.5,loam,late,13,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-26,55.2,initial,potato,14,0.0,0.0,loam,late,14,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-27,53.2,initial,potato,15,0.0,6.0,loam,late,15,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-28,59.0,initial,potato,16,0.0,0.0,loam,late,16,hose_reel,irrigation_canal,21.8,0
farm_2,farm_2_field_1,2026-04-29,58.0,initial,potato,17,0.0,0.0,loam,late,17,hose_reel,irrigation_canal,21.8,0
