date,et0_mm,rain_mm
2026-04-15,1.84,0.0
2026-04-16,1.66,4.6
2026-04-17,1.72,0.0
2026-04-18,1.97,0.0
2026-04-19,2.53,0.0
2026-04-20,2.72,0.0
2026-04-21,2.25,0.0
2026-04-22,2.62,4.2
2026-04-23,2.12,0.0
2026-04-24,1.7,0.2
2026-04-25,2.94,0.0
2026-04-26,2.54,0.0
2026-04-27,2.51,5.6
2026-04-28,2.14,0.0
2026-04-29,2.97,0.0
2026-04-30,2.84,1.2
2026-05-01,3.36,0.2
2026-05-02,2.19,0.0
2026-05-03,2.92,3.2
2026-05-04,2.48,0.0
2026-05-05,2.73,0.0
2026-05-06,3.09,0.0
2026-05-07,2.18,0.0
2026-05-08,3.21,0.0
2026-05-09,3.84,0.8
2026-05-10,2.95,0.0
2026-05-11,2.72,0.0
2026-05-12,3.44,0.0
2026-05-13,2.87,0.0
2026-05-14,3.44,0.0
2026-05-15,3.52,0.0
2026-05-16,3.37,0.0
2026-05-17,3.52,7.6
2026-05-18,4.27,0.7
2026-05-19,2.97,9.9
2026-05-20,3.93,0.0
2026-05-21,3.64,6.4
2026-05-22,3.59,0.0
2026-05-23,4.5,0.0
2026-05-24,3.13,0.0
2026-05-25,3.33,4.1
2026-05-26,2.7,0.0
2026-05-27,3.15,0.0
2026-05-28,4.58,0.0
2026-05-29,4.48,0.0
2026-05-30,4.27,0.0
2026-05-31,3.84,0.0
2026-06-01,3.83,0.0
2026-06-02,4.49,0.0
2026-06-03,4.37,0.0
2026-06-04,4.28,0.0
2026-06-05,4.44,0.0
2026-06-06,4.51,0.0
2026-06-07,4.64,21.7
2026-06-08,4.0,20.9
2026-06-09,3.03,0.0
2026-06-10,4.21,0.0
2026-06-11,2.78,0.0
2026-06-12,4.37,0.0
2026-06-13,4.36,0.0
2026-06-14,4.13,0.3
2026-06-15,4.25,0.4
2026-06-16,3.83,0.0
2026-06-17,4.46,2.2
2026-06-18,4.24,25.9
2026-06-19,4.37,0.0
2026-06-20,4.15,0.3
2026-06-21,4.41,0.3
2026-06-22,4.69,0.0
2026-06-23,4.03,0.0
2026-06-24,4.55,0.0
2026-06-25,3.83,0.0
2026-06-26,4.16,0.0
2026-06-27,4.15,0.2
2026-06-28,3.93,3.2
2026-06-29,4.29,0.0
2026-06-30,4.78,0.0
2026-07-01,4.25,0.0
2026-07-02,5.03,0.0
2026-07-03,4.91,0.0
2026-07-04,4.43,0.0
2026-07-05,5.4,0.0
2026-07-06,4.6,0.1
2026-07-07,5.0,0.0
2026-07-08,4.61,0.8
2026-07-09,4.38,4.5
2026-07-10,4.32,0.0
2026-07-11,4.94,0.0
2026-07-12,4.38,0.0
2026-07-13,3.73,0.0
2026-07-14,3.69,0.0
2026-07-15,4.85,0.0
2026-07-16,5.15,0.0
2026-07-17,4.37,0.0
2026-07-18,5.01,0.0
2026-07-19,4.64,0.0
2026-07-20,4.13,0.0
2026-07-21,4.53,0.0
2026-07-22,4.9,0.0
2026-07-23,4.28,0.0
2026-07-24,5.05,0.0
2026-07-25,4.78,0.0
2026-07-26,5.15,0.0
2026-07-27,4.71,2.6
2026-07-28,4.08,0.0
2026-07-29,4.93,7.9
2026-07-30,3.76,0.3
2026-07-31,4.77,0.0
2026-08-01,4.87,0.0
2026-08-02,3.88,0.0
2026-08-03,4.58,0.0
2026-08-04,5.2,0.6
2026-08-05,4.4,0.0
2026-08-06,3.46,10.2
2026-08-07,4.64,0.0
2026-08-08,4.57,0.0
2026-08-09,4.33,0.0
2026-08-10,5.04,0.0
2026-08-11,4.64,2.3
2026-08-12,4.19,0.1
2026-08-13,3.91,0.0
2026-08-14,3.69,0.0
2026-08-15,4.87,0.0
2026-08-16,3.8,0.0
2026-08-17,4.23,0.0
2026-08-18,4.7,0.0
2026-08-19,4.73,0.0
2026-08-20,4.3,0.3
2026-08-21,3.87,0.0
2026-08-22,3.71,0.0
2026-08-23,3.9,0.0
2026-08-24,4.52,0.0
2026-08-25,4.49,0.0
2026-08-26,4.47,0.0
2026-08-27,4.39,0.0
2026-08-28,4.28,18.2
2026-08-29,3.83,0.0
2026-08-30,3.7,0.0
2026-08-31,3.1,0.0
2026-09-01,4.16,0.0
2026-09-02,3.52,0.0
2026-09-03,3.31,0.0
2026-09-04,3.76,0.0
2026-09-05,3.39,0.0
2026-09-06,3.26,0.0
2026-09-07,3.62,0.0
2026-09-08,4.0,0.0
2026-09-09,3.47,0.0
2026-09-10,3.26,0.0
2026-09-11,3.34,0.0
2026-09-12,3.5,0.2
2026-09-13,4.08,0.0
2026-09-14,3.99,2.1
2026-09-15,3.5,0.0
2026-09-16,3.77,5.1
2026-09-17,3.4,2.2
2026-09-18,2.56,0.0
2026-09-19,3.03,0.3
2026-09-20,2.36,0.0
2026-09-21,2.98,0.0
2026-09-22,3.58,0.0
2026-09-23,2.67,0.0
2026-09-24,3.18,0.0
2026-09-25,2.72,0.0
2026-09-26,2.57,0.0
2026-09-27,2.89,0.0
2026-09-28,1.82,0.0
2026-09-29,2.67,0.0
2026-09-30,2.55,0.3
