Partition,Field_Size_ha,Temperature_C,Rainfall_mm,Soil_Humidity_Percent,Water_Demand_Liters
0,0.67,12.4,4.2,32.8,11085.93
1,11.35,26.1,13.0,25.7,69159.42
0,13.96,15.7,10.9,12.1,82862.19
1,12.01,20.8,11.2,37.1,67524.51
0,12.91,34.9,15.5,48.7,73285.46
1,18.33,26.1,1.3,52.3,98133.1
0,6.86,34.7,11.7,40.8,41417.35
1,18.06,34.0,16.5,14.0,104442.69
0,17.11,28.8,23.8,53.6,85064.73
1,16.03,19.2,6.2,22.5,93667.59
0,15.94,28.5,10.8,51.0,84949.05
1,14.42,32.8,23.3,50.4,71236.41
0,19.57,32.5,18.5,12.9,106718.77
1,13.22,31.2,5.4,11.7,85352.9
0,5.61,23.2,9.3,38.8,39109.3
1,10.66,18.4,16.1,20.7,61644.01
0,19.89,21.3,19.3,48.3,100742.44
1,18.64,27.1,8.6,23.8,104436.58
0,9.06,19.6,3.7,39.9,55494.08
1,2.76,22.6,11.6,55.3,17710.5
0,16.66,35.2,15.7,29.9,92625.53
1,4.46,21.3,12.7,24.7,35338.06
0,17.42,34.6,22.6,18.8,99662.16
1,16.57,35.4,3.8,37.0,99404.1
0,13.5,31.9,14.5,26.0,77748.22
1,14.28,35.8,10.4,25.5,86155.14
0,1.07,31.6,5.0,56.2,11621.44
1,17.62,25.2,23.3,24.7,99279.07
0,13.77,10.7,19.9,13.6,72410.92
1,6.01,31.3,15.2,35.1,43667.95
0,10.62,25.7,3.8,15.1,67735.97
1,14.6,15.2,11.1,42.6,75244.1
0,12.96,36.2,6.2,54.6,71514.27
1,13.27,29.0,7.0,25.5,81286.13
0,14.89,33.3,2.5,28.2,88923.33
1,5.36,13.3,24.1,32.4,25092.86
0,11.22,31.6,19.7,23.8,69057.63
1,12.29,17.1,22.4,29.9,64802.1
0,9.39,11.4,3.6,21.6,56879.52
1,11.87,36.1,1.8,45.7,70307.82
0,7.63,14.5,11.5,26.5,43288.52
1,9.41,34.1,5.6,14.6,67256.01
0,19.91,21.5,17.8,48.2,100412.0
1,18.26,34.0,18.7,42.8,98696.34
0,6.6,14.9,8.4,28.1,40888.51
1,11.07,19.2,18.2,31.2,57869.73
0,17.21,29.2,15.8,17.0,99155.91
1,12.3,18.3,12.2,33.3,71409.43
0,5.87,28.4,14.3,17.2,42112.4
1,4.16,13.1,2.1,15.7,41097.19
0,1.32,18.7,4.9,28.3,20328.17
1,14.64,13.4,18.2,33.9,73649.89
0,9.17,27.9,8.8,55.1,51349.58
1,5.75,10.5,6.0,30.3,39522.5
0,14.34,37.9,11.5,33.0,90763.07
1,0.79,17.8,24.0,14.2,10963.31
0,1.14,18.1,4.8,40.5,10195.39
1,6.74,13.1,18.7,11.5,42297.18
0,2.84,29.2,15.7,51.9,23470.99
1,9.81,27.8,0.5,22.0,66117.01
0,1.32,17.7,9.1,23.7,14750.01
1,4.85,29.6,10.4,50.9,31150.29
0,8.77,37.2,10.2,24.3,62004.87
1,12.4,15.5,11.4,42.2,65086.97
0,7.74,29.3,15.2,15.2,50605.07
1,16.77,31.9,17.0,55.7,90095.44
0,3.5,34.5,13.4,50.6,25626.99
1,17.19,17.3,23.3,16.7,93880.16
0,13.82,25.3,1.5,30.8,79300.97
1,7.8,14.5,15.0,15.2,50645.01
0,8.99,21.1,9.4,11.0,60264.47
1,12.15,11.5,7.4,32.8,75039.82
0,3.32,10.2,8.2,44.8,20550.69
1,12.72,26.5,10.5,24.9,76339.13
0,16.77,12.6,19.6,58.0,80460.39
1,7.84,15.8,9.6,48.1,44889.74
0,19.9,17.2,4.1,47.7,109565.25
1,4.52,10.1,16.9,10.6,28586.03
0,16.38,36.5,17.8,56.5,89188.82
1,15.12,33.7,19.4,20.2,85846.79
0,17.71,34.0,5.3,43.5,103469.39
1,12.88,34.0,16.5,27.8,75381.76
0,10.61,17.4,8.0,32.2,65048.82
1,6.12,10.0,15.3,58.6,28174.49
0,12.99,37.5,1.6,27.1,84611.69
1,5.77,18.9,4.7,55.4,38511.65
0,12.59,24.0,20.1,26.7,70470.89
1,16.55,37.9,8.2,25.6,105111.53
0,13.84,16.6,19.1,58.7,65143.97
1,3.11,12.4,3.4,24.7,26168.17
0,13.85,23.0,23.6,49.6,74187.43
1,0.91,24.9,24.0,35.3,8073.67
0,10.01,10.4,20.9,48.2,47119.26
1,15.96,18.5,15.9,10.7,88753.76
0,5.32,17.4,5.0,19.8,40734.92
1,6.67,21.1,22.0,24.6,39667.94
0,12.72,13.2,19.4,42.0,67098.32
1,15.94,14.1,19.4,39.6,80599.46
0,15.7,32.8,13.4,53.6,84425.45
1,18.64,18.9,22.6,40.3,92531.82
0,14.65,17.2,19.0,11.7,87178.4
1,13.02,15.7,14.3,21.7,71421.24
0,3.8,12.6,14.6,15.3,27101.18
1,18.79,26.3,16.6,36.0,101764.97
0,3.1,30.4,22.8,46.9,18262.46
1,16.39,13.4,1.7,12.0,97551.32
0,13.08,27.9,14.9,26.5,74966.44
1,4.93,16.2,23.9,50.4,20417.96
0,10.75,14.1,22.7,49.2,52938.1
1,17.6,30.2,4.0,13.6,108049.4
0,1.14,14.1,14.1,30.6,11556.35
1,16.83,27.4,15.5,23.6,99594.98
0,0.51,15.6,10.7,40.7,6685.68
1,6.16,11.2,22.1,35.6,33404.77
0,3.41,35.4,20.6,18.2,29871.49
1,7.45,16.1,13.4,40.1,42786.55
0,8.94,30.1,20.5,15.7,62099.28
1,15.23,34.3,17.7,17.3,91954.34
0,18.58,19.4,18.8,56.4,90688.68
1,19.59,30.0,24.9,18.6,104385.67
